X;Y
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4272071;-0,3638551
0,4262871;-0,3645888
0,4262871;-0,3645888
0,4262871;-0,3645888
0,4244304;-0,366079
0,4244304;-0,366079
0,4244304;-0,366079
0,4244304;-0,366079
0,4233729;-0,3666996
0,4233729;-0,3666996
0,4233729;-0,3666996
0,4233729;-0,3666996
0,4229395;-0,3670372
0,4229395;-0,3670372
0,4229395;-0,3670372
0,4226397;-0,3673332
0,4226397;-0,3673332
0,4226397;-0,3673332
0,4222977;-0,3677809
0,4222977;-0,3677809
0,4220342;-0,3681225
0,4220342;-0,3681225
0,4220342;-0,3681225
0,4218553;-0,3684888
0,4218553;-0,3684888
0,4218553;-0,3684888
0,4216694;-0,3690318
0,4216694;-0,3690318
0,4216211;-0,3693464
0,4216211;-0,3693464
0,4216211;-0,3693464
0,4217061;-0,3693952
0,4217061;-0,3693952
0,4217061;-0,3693952
0,4217061;-0,3693952
0,4215736;-0,3697652
0,4214314;-0,3701297
0,4214314;-0,3701297
0,4212126;-0,3704585
0,4212126;-0,3704585
0,4209575;-0,3707477
0,4206451;-0,3709524
0,4206451;-0,3709524
0,4202724;-0,3711447
0,4202724;-0,3711447
0,4199733;-0,3713553
0,4199733;-0,3713553
0,4196341;-0,3715249
0,4193199;-0,3717218
0,4193199;-0,3717218
0,4190192;-0,3719283
0,4190192;-0,3719283
0,4187312;-0,3720736
0,418438;-0,3722027
0,418438;-0,3722027
0,4181606;-0,3722625
0,4181606;-0,3722625
0,4178993;-0,3723648
0,4176475;-0,3724636
0,4176475;-0,3724636
0,4174349;-0,3725641
0,4174349;-0,3725641
0,4172295;-0,3726129
0,41694;-0,3727269
0,41694;-0,3727269
0,4167587;-0,372778
0,4167587;-0,372778
0,4166167;-0,3728228
